date,open,high,close,low,volume,price_change,p_change,ma5,ma10,ma20,v_ma5,v_ma10,v_ma20
2019-02-21,4.42,4.5,4.4,4.38,96076.84,0.0,0.0,4.39,4.313,4.218,76033.21,72398.14,54546.76
2019-02-20,4.4,4.45,4.4,4.35,67464.32,-0.01,-0.23,4.374,4.275,4.206,75713.96,67120.68,52159.51
2019-02-19,4.45,4.47,4.41,4.36,85795.89,-0.03,-0.68,4.35,4.238,4.199,79144.33,64197.99,50865.4
2019-02-18,4.33,4.45,4.44,4.32,75034.32,0.14,3.26,4.314,4.195,4.191,76969.07,62042.31,48787.43
2019-02-15,4.32,4.36,4.3,4.29,55794.67,-0.02,-0.46,4.268,4.164,4.177,71654.25,57383.81,47436.33
2019-02-14,4.28,4.35,4.32,4.26,94480.6,0.04,0.94,4.236,4.147,4.176,68763.07,54375.85,47252.52
2019-02-13,4.24,4.31,4.28,4.21,84616.16,0.05,1.18,4.176,4.132,4.17,58527.4,47642.75,44282.09
2019-02-12,4.23,4.25,4.23,4.16,74919.58,0.02,0.47,4.126,4.12,4.166,49251.66,42431.76,42747.36
2019-02-11,4.14,4.22,4.21,4.14,48460.24,0.07,1.69,4.076,4.114,4.164,47115.55,38439.09,40774.66
2019-02-01,4.04,4.14,4.14,4.0,41338.79,0.12,2.98,4.06,4.116,4.165,43113.36,37418.39,40492.53
2019-01-31,4.05,4.12,4.02,3.95,43302.21,-0.01,-0.25,4.058,4.123,4.166,39988.62,36695.37,40467.49
2019-01-30,4.05,4.11,4.03,4.02,38237.48,0.05,1.26,4.088,4.136,4.169,36758.09,37198.35,39939.08
2019-01-29,4.13,4.13,3.98,3.82,64239.01,-0.15,-3.63,4.114,4.16,4.174,35611.87,37532.81,40037.39
2019-01-28,4.14,4.18,4.13,4.11,28449.31,0.0,0.0,4.152,4.186,4.179,29762.63,35532.56,39204.37
2019-01-25,4.17,4.18,4.13,4.12,25715.11,-0.04,-0.96,4.172,4.19,4.174,31723.41,37488.85,40158.07
2019-01-24,4.14,4.19,4.17,4.12,27149.56,0.01,0.24,4.188,4.204,4.176,33402.12,40129.19,40943.33
2019-01-23,4.17,4.18,4.16,4.12,32506.35,-0.01,-0.24,4.184,4.207,4.178,37638.6,40921.43,43045.08
